856_domain	DATA	BIOMED	discipline_clinical	discipline_basic	discipline_biology	discipline_pharma	discipline_affective	discipline_dentistry	discipline_medicine_general	discipline_neurosciences	FUNDER	FNS_FUNDER	EU_FUNDER
ANNDERMATOL.ORG	0	1	1	0	0	0	0	0	0	0	0	0	0
ANNEEMAGHREB.REVUES.ORG	0	0	0	0	0	0	0	0	0	0	0	0	0
ANNEXPUBLISHERS.COM	0	1	1	0	0	0	0	0	0	0	0	0	0
ANNONC.OXFORDJOURNALS.ORG	0	11	11	0	0	0	0	0	0	0	0	0	0
ANNUALREVIEWS.ORG	0	7	2	1	5	0	0	0	0	1	2	2	1
ANTHROPOS-EDITORIAL.COM	0	0	0	0	0	0	0	0	0	0	0	0	0
ANTHROSOURCE.ONLINELIBRARY.WILEY.COM	0	0	0	0	0	0	0	0	0	0	0	0	0
ANTIGONEJOURNAL.COM	0	0	0	0	0	0	0	0	0	0	1	1	0
ANTIKEKUNST.ORG	0	0	0	0	0	0	0	0	0	0	0	0	0
ANTIPODES.CH	0	0	0	0	0	0	0	0	0	0	0	0	0
ANWALTSKONGRESS.SAV-FSA.CH	0	0	0	0	0	0	0	0	0	0	0	0	0
ANWALTSREVUE.RECHT.CH	0	0	0	0	0	0	0	0	0	0	0	0	0
ANZCTR.ORG.AU	1	1	1	0	0	0	0	0	0	0	1	1	0
AOC.MEDIA	0	0	0	0	0	0	0	0	0	0	0	0	0
APDIS.PT	0	1	1	0	0	0	0	0	0	0	0	0	0
API.NING.COM	0	0	0	0	0	0	0	0	0	0	0	0	0
APM.AMEGROUPS.COM	0	1	1	0	0	0	0	0	0	0	0	0	0
APP.LEGALIS.CH	0	0	0	0	0	0	0	0	0	0	0	0	0
APP.LETEMPS.CH	0	0	0	0	0	0	0	0	0	0	0	0	0
APP.PAN.PL	0	0	0	0	0	0	0	0	0	0	1	1	0
APPLICATIONS.EMRO.WHO.INT	0	1	1	0	0	0	0	0	0	0	0	0	0
APPLIEDVOLC.BIOMEDCENTRAL.COM	0	0	0	0	0	0	0	0	0	0	0	0	0
APPLIEDVOLC.SPRINGEROPEN.COM	0	0	0	0	0	0	0	0	0	0	0	0	0
APPS.WHO.INT	0	2	2	0	0	0	0	0	0	0	0	0	0
APRH.PT	0	0	0	0	0	0	0	0	0	0	0	0	0
APS.EDU.PL	0	0	0	0	0	0	0	0	0	0	0	0	0
APS.JOURNALS.AC.ZA	0	0	0	0	0	0	0	0	0	0	0	0	0
APSJOURNALS.APSNET.ORG	0	5	0	0	5	0	0	0	0	0	0	0	0
APSNET.ORG	0	2	0	0	2	0	0	0	0	0	1	1	0
APU.UNIV-ARTOIS.FR	0	0	0	0	0	0	0	0	0	0	0	0	0
AQEP.ORG	0	0	0	0	0	0	0	0	0	0	0	0	0
AR.IIARJOURNALS.ORG	0	5	5	0	0	0	0	0	0	0	0	0	0
ARACNEEDITRICE.IT	0	0	0	0	0	0	0	0	0	0	0	0	0
ARAGES.DE	0	0	0	0	0	0	0	0	0	0	0	0	0
ARAMIS.ADMIN.CH	0	0	0	0	0	0	0	0	0	0	0	0	0
ARBIDO.CH	0	0	0	0	0	0	0	0	0	0	0	0	0
ARCHAEOPRESS.COM	0	1	0	0	1	0	0	0	0	0	0	0	0
ARCHCLINBIOMEDRES.COM	0	1	0	1	0	0	0	0	0	0	0	0	0
ARCHDERM.AMA-ASSN.ORG	0	4	4	1	0	0	0	1	0	0	0	0	0
ARCHDERM.JAMANETWORK.COM	0	0	0	0	0	0	0	0	0	0	0	0	0
ARCHEOLOGIA-MAGAZINE.COM	0	0	0	0	0	0	0	0	0	0	0	0	0
ARCHIMUSE.COM	0	0	0	0	0	0	0	0	0	0	0	0	0
ARCHINTE.AMA-ASSN.ORG	0	21	20	1	0	0	0	0	0	0	0	0	0
ARCHINTE.JAMANETWORK.COM	0	3	3	0	0	0	0	0	0	0	1	1	0
ARCHIPRESS-EDITIONS.FR	0	0	0	0	0	0	0	0	0	0	0	0	0
ARCHITALBIOL.ORG	0	1	0	1	0	0	0	0	0	0	0	0	0
ARCHIV.UB.UNI-HEIDELBERG.DE	0	0	0	0	0	0	0	0	0	0	0	0	0
ARCHIVE-OUVERTE.UNIGE.CH	6173	49776	32873	9798	5891	2992	1662	1458	987	338	9415	8482	1669
ARCHIVE.NUMDAM.ORG	0	0	0	0	0	0	0	0	0	0	0	0	0
ARCHIVE.RUBICON-FOUNDATION.ORG	0	0	0	0	0	0	0	0	0	0	0	0	0
ARCHIVE.SOFTWAREHERITAGE.ORG	2	2	1	1	0	0	0	0	0	0	1	1	1
ARCHIVES-FIG-ST-DIE.CNDP.FR	0	0	0	0	0	0	0	0	0	0	0	0	0
ARCHIVES.DATAPAGES.COM	0	0	0	0	0	0	0	0	0	0	0	0	0
ARCHIVESCONTEMPORAINES.COM	0	0	0	0	0	0	0	0	0	0	0	0	0
ARCHNEUR.AMA-ASSN.ORG	0	6	4	3	0	0	0	0	0	0	0	0	0
ARCHNEUR.JAMANETWORK.COM	0	0	0	0	0	0	0	0	0	0	0	0	0
ARCHOPHT.AMA-ASSN.ORG	0	2	2	0	0	0	0	0	0	0	0	0	0
ARCHOPHT.JAMANETWORK.COM	0	1	1	0	0	0	0	0	0	0	0	0	0
ARCHPEDI.AMA-ASSN.ORG	0	3	3	0	0	0	0	0	0	0	0	0	0
ARCHPSYC.AMA-ASSN.ORG	0	3	3	0	0	0	0	0	0	0	0	0	0
ARCHPSYC.JAMANETWORK.COM	0	1	1	1	0	0	0	0	0	0	0	0	0
ARCHPUBLICHEALTH.BIOMEDCENTRAL.COM	0	1	1	0	0	0	0	0	0	0	0	0	0
ARCHPUBLICHEALTH.COM	0	1	1	0	0	0	0	0	0	0	0	0	0
ARCHSURG.AMA-ASSN.ORG	0	2	2	0	0	0	0	0	0	0	0	0	0
ARD.BMJ.COM	0	23	23	0	0	0	0	0	0	0	0	0	0
ARDM.EU	0	0	0	0	0	0	0	0	0	0	0	0	0
AREF2013.UMONTPELLIER.FR	0	0	0	0	0	0	0	0	0	0	0	0	0
AREF2013.UNIV-MONTP2.FR	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGUMENTA.ORG	0	0	0	0	0	0	0	0	0	0	0	0	0
ARICJOURNAL.BIOMEDCENTRAL.COM	0	32	32	1	0	0	0	0	0	0	8	8	1
ARKIV.NU	0	0	0	0	0	0	0	0	0	0	0	0	0
ARLD.CH	0	0	0	0	0	0	0	0	0	0	0	0	0
ARMAND-COLIN.COM	0	0	0	0	0	0	0	0	0	0	0	0	0
ARPEME.FR	0	0	0	0	0	0	0	0	0	0	0	0	0
ARPI.UNIPI.IT	0	1	1	0	0	0	0	0	0	0	0	0	0
ARS.ELS-CDN.COM	4	3	1	0	0	2	0	0	0	0	0	0	0
ARSI.ASSO.FR	0	1	1	0	0	0	0	0	0	0	0	0	0
ART-LAW.ORG	0	0	0	0	0	0	0	0	0	0	0	0	0
ARTHEQUE.ENS-CACHAN.FR	0	0	0	0	0	0	0	0	0	0	0	0	0
ARTHRITIS-RESEARCH.BIOMEDCENTRAL.COM	0	4	4	0	0	0	0	0	0	0	0	0	0
ARTHRITIS-RESEARCH.COM	0	1	1	0	0	1	0	0	0	0	0	0	0
ARTHROPLASTYJOURNAL.ORG	0	1	1	0	0	0	0	0	0	0	0	0	0
ARTICLES.ADSABS.HARVARD.EDU	0	0	0	0	0	0	0	0	0	0	0	0	0
ARTICULO.REVUES.ORG	0	0	0	0	0	0	0	0	0	0	0	0	0
ARTIFICIAL-ORGANS.COM	0	2	2	0	0	0	0	0	0	0	0	0	0
ARTLAWFOUNDATION.COM	0	0	0	0	0	0	0	0	0	0	0	0	0
ARV-ONLINE.SWISSLEX.CH	0	0	0	0	0	0	0	0	0	0	0	0	0
ARXIV.ORG	1	0	0	0	0	0	0	0	0	0	0	0	0
ASA.SCITATION.ORG	0	1	1	0	0	0	0	0	0	0	1	1	0
ASA.WEBLAW.CH	0	0	0	0	0	0	0	0	0	0	0	0	0
ASAHP.ORG	0	1	1	0	0	0	0	0	0	0	0	0	0
