id	date	BIOMED	discipline_clinical	discipline_basic	discipline_biology	discipline_pharma	discipline_affective	discipline_dentistry	discipline_medicine_general	discipline_neurosciences	DATA	DATA_TYPE_appendixes	DATA_TYPE_data_supplements	DATA_TYPE_shared_data	FUNDER	FNS_FUNDER	EU_FUNDER	type
unige:169014	2022	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	Article scientifique
unige:169015	2022	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:169016	2022	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	Article scientifique
unige:169017	2021	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:169018	2021	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:169020	2021	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:169022	2021	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:169024	2021	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:169025	2022	1	1	1	0	0	0	0	0	0	1	0	1	1	1	1	0	Article scientifique
unige:169027	2022	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:169030	2022	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:169036	2022	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:169039	2022	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:169040	2022	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:169041	2022	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:169052	2022	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Preprint
unige:169054	2022	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Chapitre de livre
unige:169059	2022	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	Article scientifique
unige:169061	2022	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:169062	2022	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
